page,index_on_page,filename,bytes,extension,sha256,is_duplicate,first_seen_as
7,4,page_007/2026SS_p007_004.jpg,138265,jpg,eea8d0fb2d3b3b30c1148b7af06fc73b261bec4c36f679ff0feba9e5bbb60d65,no,
8,1,page_008/2026SS_p008_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
8,2,page_008/2026SS_p008_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
8,3,page_008/2026SS_p008_003.jpg,87275,jpg,1573ea7d96aed34ae8b2d11335137fb09a989e0f5cd5887d46a648604cbbbc3e,no,
8,4,page_008/2026SS_p008_004.jpg,7706,jpg,0e5162a93480cea8b8ed30b62797955b076f072ebe309da8c4c40fad45418de9,no,
8,5,page_008/2026SS_p008_005.jpg,26852,jpg,43f158334737da0f00d75810da17aafb51d5cba892ce1d994498823011b07da5,no,
8,6,page_008/2026SS_p008_006.jpg,18658,jpg,e329bf6bfdfc9df48358a9256a6c5bb10410835d7df9029f50832699111e821a,no,
9,1,page_009/2026SS_p009_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
9,2,page_009/2026SS_p009_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
9,3,page_009/2026SS_p009_003.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
9,4,page_009/2026SS_p009_004.jpg,72343,jpg,e6656e770896669a91d86fb4cf07002ed3dafa54f28d64c8ff165d4e95a1da94,no,
9,5,page_009/2026SS_p009_005.jpg,64804,jpg,17244adc576c09b87930eec8f347675b83772c9457ebade7a343dc89e749ea04,no,
9,6,page_009/2026SS_p009_006.jpg,6596,jpg,cf9d88aa95384a7c8cc56c2e6a4e2ba2cef6d51ad5691bb2a7cedd1b33676c75,no,
